aleman;traducción
mobliert;amueblado
kalmiete;sin amueblar
warmiete;amueblado
alt;viejo
neu;nuevo
hell;iluminado
dunkel;oscuro
breit;ancho
chmal;estrecho
bald;pronto
spä;tarde
schwer;pesado
leicht;ligero
lang;largo
kurz;corto
teuer;caro
billig;barato
gemütlic;acogedor
gro�;grande
klein;pequeñ
schö;bonito
hässlic;feo
schlecht;malo
günsti;propicio
bung;colorido
langweilig;aburrido
auf;encima
an;al lado
�ber;encima
neben;cerca
unter;debajo
hinter;atrá
zwischen;entre
in;dentro
vor;antes
nach;despué
fü;durante
seit;desde
um;a las
von;de
bis;hasta
ab;desde
schwarz;negro
wei�;blanco
grau;gris
grü;verde
braun;marró
blau;azul
rot;rojo
gelb;amarillo
orange;naranja
lila;lila
rose;rosa
